Utterance,Intent,Sentiment,User Action,Slot_Label,Slot_Value
"Hi, I want to buy a phone",0,0,0,0,0
"Yes, Phone should have good battery and good memory.",1,0,0,O O O O B-Battery O O B-Memory O,"High,High"
What is its color ?,2,0,2,0,0
oh! But I am looking for Titanium grey color phone,1,-1,0,O O O O O O B-Color  I-Color O O,Titanium grey
What is its cost ?,2,0,8,0,0
Ok book this one for me,6,0,0,0,0
Thanks for helping me.,4,1,0,0,0
"Hello, I want a reliable phone as I do most of my office work on phone.",0,0,0,0,0
"Yes, display size should be big and battery should lasts long as I travel a lot.",1,0,0,O O O O O B-Display_Size O O O O B-Battery O O O O O,"High,Big"
What is its weight ?,2,0,14,0,0
"oh, that's a bit heavy. Can you suggest some other phone with light weight",1,-1,0,O O O O O O O O O O O O B-Weight_g O,Light
Yes I understand your point but still I would prefer light weight phone,3,0,0,0,0
What is its color ?,2,0,2,0,0
I will take it then,6,0,0,0,0
Thannks a ton. You have been very helpful.,4,1,0,0,0
"Hey, I want to buy a phone",0,0,0,0,0
I want to buy Paradise by HTC,1,0,0,O O O O B-Model O B-Brand ,Paradise HTC
How is the camera quality ?,2,0,7,0,0
That's very good. What is its display screen size ?,2,0,3,0,0
what is its color ?,2,0,2,0,0
"oh, this color is not of my liking. I want it in blue.",1,-1,0,O O O O O O O O O O O O O,Blue
"Perfect, I will take it. Kindly gift wrap it.",6,0,0,0,0
Thanks a ton,4,1,0,0,0
"Hi, I am looking for a good phone",0,0,0,0,0
I want to buy Yoga Tab 3 Plus by Lenovo,1,0,0,O O O O B-Model I-Model I-Model I-Model O B-Brand ,"Lenovo,Yoga Tab 3"
I often listens to Radio. Radio also works on it right ?,5,-1,0,0,0
How is the battery life ?,2,0,1,0,0
What is its color ?,2,0,2,0,0
What is its cost ?,2,0,8,0,0
Sorry I can't take this phone that's too costly for me. My budget is 400. ,1,-1,0,O O O O O O O O O O O O O O B-Cost,400-
I understand but I have budget constraints,3,0,0,0,0
ok can you book Lenovo Tab3  8 for me,6,0,0,0,0
Thanks for help,4,1,0,0,0
I am in urgent need of a phone,0,0,0,0,0
I want a light weight phone with the internal RAM of 64GB.,1,0,0,O O O B-Weight_g O O O O O O O B-Internal_RAM ,"Light,64GB"
Sounds good. Does it has Radio jack ?,2,0,10,0,0
